experiment_id,method,init_name,target_department,n_support_pos,n_support_neg,inner_steps,status,gold_auroc_mean,synthetic_proportion,augmentation_method,is_stale,stale_reason,is_diagnostic,diagnostic_reason,is_current_clean
stage2__init-A_weak_only__method-finetune__kpos-3__kneg-3__steps-3__target-e__synprop-0__gen-none,finetune,A_weak_only,e,3,3,3,no_target_episodes_available,,0.0,none,True,single_letter_dept,False,,False
stage2__init-A_weak_only__method-finetune__kpos-3__kneg-3__steps-3__target-g__synprop-0__gen-none,finetune,A_weak_only,g,3,3,3,no_target_episodes_available,,0.0,none,True,single_letter_dept,False,,False
stage2__init-A_weak_only__method-finetune__kpos-3__kneg-3__steps-3__target-i__synprop-0__gen-none,finetune,A_weak_only,i,3,3,3,no_target_episodes_available,,0.0,none,True,single_letter_dept,False,,False
stage2__init-A_weak_only__method-finetune__kpos-3__kneg-3__steps-3__target-l__synprop-0__gen-none,finetune,A_weak_only,l,3,3,3,no_target_episodes_available,,0.0,none,True,single_letter_dept,False,,False
stage2__init-A_weak_only__method-finetune__kpos-5__kneg-5__steps-3__target-Logistics,finetune,A_weak_only,Logistics,5,5,3,no_target_episodes_available,,0.0,none,True,infeasible_k_shot(k=10),False,,False
stage2__init-A_weak_only__method-finetune__kpos-5__kneg-5__steps-5__target-Logistics,finetune,A_weak_only,Logistics,5,5,5,no_target_episodes_available,,,,True,infeasible_k_shot(k=10),False,,False
stage2__init-A_weak_only__method-finetune__kpos-10__kneg-10__steps-3__target-Logistics,finetune,A_weak_only,Logistics,10,10,3,no_target_episodes_available,,0.0,none,True,infeasible_k_shot(k=20),False,,False
stage2__init-A_weak_only__method-finetune__kpos-10__kneg-10__steps-5__target-Logistics,finetune,A_weak_only,Logistics,10,10,5,no_target_episodes_available,,0.0,none,True,infeasible_k_shot(k=20),False,,False
stage2__init-C_hybrid__method-finetune__kpos-2__kneg-2__steps-3__target-Logistics,finetune,C_hybrid,Logistics,2,2,3,success,0.5063988095238094,0.0,none,False,,False,,True
stage2__init-C_hybrid__method-finetune__kpos-2__kneg-2__steps-5__target-Logistics,finetune,C_hybrid,Logistics,2,2,5,success,0.5063988095238094,0.0,none,False,,False,,True
stage2__init-C_hybrid__method-finetune__kpos-5__kneg-5__steps-3__target-Logistics,finetune,C_hybrid,Logistics,5,5,3,no_target_episodes_available,,0.0,none,True,infeasible_k_shot(k=10),False,,False
stage2__init-C_hybrid__method-finetune__kpos-5__kneg-5__steps-5__target-Logistics,finetune,C_hybrid,Logistics,5,5,5,no_target_episodes_available,,0.0,none,True,infeasible_k_shot(k=10),False,,False
stage2__init-C_hybrid__method-finetune__kpos-10__kneg-10__steps-3__target-Logistics,finetune,C_hybrid,Logistics,10,10,3,no_target_episodes_available,,0.0,none,True,infeasible_k_shot(k=20),False,,False
stage2__init-C_hybrid__method-finetune__kpos-10__kneg-10__steps-5__target-Logistics,finetune,C_hybrid,Logistics,10,10,5,no_target_episodes_available,,0.0,none,True,infeasible_k_shot(k=20),False,,False
stage2__init-A_weak_only__method-fomaml__kpos-2__kneg-2__steps-1__target-Logistics,fomaml,A_weak_only,Logistics,2,2,1,failed,,,,True,architecture_mismatch,False,,False
stage2__init-A_weak_only__method-fomaml__kpos-2__kneg-2__steps-3__target-Logistics,fomaml,A_weak_only,Logistics,2,2,3,success,0.4899119730325473,,,False,,False,,True
stage2__init-A_weak_only__method-fomaml__kpos-2__kneg-2__steps-5__target-Logistics,fomaml,A_weak_only,Logistics,2,2,5,success,0.5025399127257044,,,False,,False,,True
stage2__init-A_weak_only__method-fomaml__kpos-5__kneg-5__steps-3__target-Logistics,fomaml,A_weak_only,Logistics,5,5,3,failed,,,,True,infeasible_k_shot(k=10),False,,False
stage2__init-A_weak_only__method-fomaml__kpos-5__kneg-5__steps-5__target-Logistics,fomaml,A_weak_only,Logistics,5,5,5,success,,,,True,infeasible_k_shot(k=10),True,1_row_gold_test_logistics,False
stage2__init-A_weak_only__method-fomaml__kpos-10__kneg-10__steps-3__target-Logistics,fomaml,A_weak_only,Logistics,10,10,3,failed,,,,True,infeasible_k_shot(k=20),False,,False
