supplier_number,Join_Year,article_count,negative_count,positive_count,neutral_count,avg_sentiment_score,avg_relevance_score,max_relevance_score,negative_ratio,has_high_relevance_negative_news
31195,2021,2,1,1,0,0.0,3.0,3.0,0.5,0
31195,2022,4,1,2,1,0.25,3.375,4.0,0.25,1
31195,2023,3,0,3,0,1.0,3.0,3.0,0.0,0
31195,2024,4,1,3,0,0.5,3.375,4.0,0.25,1
31195,2025,10,1,9,0,0.8,3.5799999999999996,4.0,0.1,1
31195,2026,16,3,8,5,0.3125,3.95625,5.0,0.1875,1
31195,2027,12,2,7,3,0.4166666666666667,4.375,5.0,0.16666666666666666,1
31567,2017,3,0,0,3,0.0,3.3333333333333335,4.0,0.0,0
31578,2026,1,0,0,1,0.0,4.0,4.0,0.0,0
31578,2027,6,0,6,0,1.0,4.833333333333333,5.0,0.0,0
31788,2025,1,0,0,1,0.0,4.0,4.0,0.0,0
32016,2026,1,0,1,0,1.0,4.0,4.0,0.0,0
32016,2027,1,0,1,0,1.0,5.0,5.0,0.0,0
32254,2016,1,0,0,1,0.0,3.0,3.0,0.0,0
32254,2019,2,1,1,0,0.0,3.0,3.0,0.5,0
32254,2021,1,0,1,0,1.0,3.7,3.7,0.0,0
32254,2024,3,0,3,0,1.0,3.0,3.0,0.0,0
32254,2025,3,1,1,1,0.0,3.9333333333333336,4.5,0.3333333333333333,1
32254,2027,5,1,0,4,-0.2,3.0,3.0,0.2,0
32392,2022,2,0,2,0,1.0,4.0,4.0,0.0,0
32392,2023,2,0,1,1,0.5,4.0,4.0,0.0,0
32392,2024,2,0,1,1,0.5,3.75,4.0,0.0,0
32392,2025,2,0,1,1,0.5,3.75,4.0,0.0,0
32392,2026,4,0,4,0,1.0,5.0,5.0,0.0,0
32417,2024,1,0,1,0,1.0,4.0,4.0,0.0,0
32417,2026,1,1,0,0,-1.0,4.0,4.0,1.0,1
32521,2021,2,0,2,0,1.0,3.5,4.0,0.0,0
32521,2022,1,0,0,1,0.0,3.0,3.0,0.0,0
32521,2023,2,0,2,0,1.0,3.25,3.5,0.0,0
32521,2025,6,0,6,0,1.0,4.25,5.0,0.0,0
32521,2027,1,0,1,0,1.0,4.2,4.2,0.0,0
32576,2022,1,0,1,0,1.0,3.0,3.0,0.0,0
32670,2018,5,4,1,0,-0.6,3.6,4.0,0.8,1
32670,2020,3,0,2,1,0.6666666666666666,3.0,3.0,0.0,0
32670,2021,1,1,0,0,-1.0,3.0,3.0,1.0,0
32670,2022,1,0,0,1,0.0,3.0,3.0,0.0,0
32670,2023,1,0,0,1,0.0,3.0,3.0,0.0,0
32670,2024,1,1,0,0,-1.0,3.0,3.0,1.0,0
32670,2026,4,3,1,0,-0.5,3.925,4.0,0.75,1
32801,2026,19,2,12,5,0.5263157894736842,3.9368421052631577,5.0,0.10526315789473684,1
32801,2027,73,10,20,43,0.136986301369863,3.9315068493150687,5.0,0.136986301369863,1
32840,2025,7,1,4,2,0.42857142857142855,4.542857142857143,5.0,0.14285714285714285,1
32840,2026,10,1,8,1,0.7,4.4,5.0,0.1,1
32840,2027,3,0,3,0,1.0,4.333333333333333,5.0,0.0,0
32850,2026,4,2,2,0,0.0,4.25,5.0,0.5,1
32850,2027,7,0,1,6,0.14285714285714285,3.5285714285714285,4.7,0.0,0
32857,2019,2,0,0,2,0.0,3.0,3.0,0.0,0
32857,2020,3,0,1,2,0.3333333333333333,4.0,4.0,0.0,0
34071,2021,1,0,1,0,1.0,3.0,3.0,0.0,0
34071,2023,1,0,1,0,1.0,3.0,3.0,0.0,0
34071,2025,6,0,6,0,1.0,3.533333333333333,4.2,0.0,0
34071,2026,1,0,0,1,0.0,5.0,5.0,0.0,0
34072,2024,2,0,2,0,1.0,3.5,4.0,0.0,0
34111,2026,1,1,0,0,-1.0,3.5,3.5,1.0,0
34225,2027,2,1,1,0,0.0,3.5,4.0,0.5,1
34893,2026,1,0,0,1,0.0,4.0,4.0,0.0,0
35178,2020,1,1,0,0,-1.0,3.0,3.0,1.0,0
35178,2021,3,0,3,0,1.0,3.5,4.5,0.0,0
35178,2022,2,0,2,0,1.0,3.5,3.5,0.0,0
35178,2023,6,0,5,1,0.8333333333333334,3.3333333333333335,3.5,0.0,0
35178,2024,11,0,11,0,1.0,3.6636363636363636,4.2,0.0,0
35178,2025,25,5,18,2,0.52,4.3,5.0,0.2,1
35178,2026,33,8,24,1,0.48484848484848486,4.454545454545454,5.0,0.24242424242424243,1
35178,2027,8,0,7,1,0.875,4.5625,5.0,0.0,0
35300,2022,1,0,1,0,1.0,4.0,4.0,0.0,0
35438,2017,1,0,1,0,1.0,3.0,3.0,0.0,0
35438,2021,1,0,0,1,0.0,3.0,3.0,0.0,0
35438,2022,2,0,0,2,0.0,3.7,4.0,0.0,0
35698,2018,1,0,1,0,1.0,3.0,3.0,0.0,0
35698,2020,2,0,2,0,1.0,3.1,3.2,0.0,0
35698,2021,5,1,1,3,0.0,3.4,4.0,0.2,1
35698,2022,1,0,1,0,1.0,3.0,3.0,0.0,0
35698,2023,5,0,4,1,0.8,3.5,4.0,0.0,0
35698,2024,7,0,5,2,0.7142857142857143,3.1,3.5,0.0,0
35698,2025,11,1,9,1,0.7272727272727273,3.5,4.5,0.09090909090909091,1
35698,2026,21,0,18,3,0.8571428571428571,4.071428571428571,5.0,0.0,0
35698,2027,7,0,6,1,0.8571428571428571,4.142857142857143,5.0,0.0,0
36320,2023,2,0,2,0,1.0,3.0,3.0,0.0,0
36320,2026,4,0,4,0,1.0,4.25,5.0,0.0,0
36320,2027,1,0,1,0,1.0,5.0,5.0,0.0,0
36389,2025,1,0,1,0,1.0,4.0,4.0,0.0,0
36440,2016,1,0,0,1,0.0,3.0,3.0,0.0,0
36440,2022,1,1,0,0,-1.0,3.0,3.0,1.0,0
36440,2024,1,0,1,0,1.0,3.5,3.5,0.0,0
36440,2026,2,0,2,0,1.0,5.0,5.0,0.0,0
37685,2026,1,1,0,0,-1.0,4.0,4.0,1.0,1
38051,2026,1,0,1,0,1.0,4.0,4.0,0.0,0
38064,2023,1,0,1,0,1.0,3.5,3.5,0.0,0
38064,2024,1,0,1,0,1.0,3.0,3.0,0.0,0
38150,2021,2,0,2,0,1.0,3.5,4.0,0.0,0
38150,2022,2,0,2,0,1.0,3.0,3.0,0.0,0
38150,2023,3,0,1,2,0.3333333333333333,3.3333333333333335,4.0,0.0,0
38150,2024,2,0,1,1,0.5,3.5,4.0,0.0,0
38150,2025,3,0,3,0,1.0,4.5,5.0,0.0,0
38150,2026,11,0,7,4,0.6363636363636364,4.009090909090909,5.0,0.0,0
38150,2027,1,0,1,0,1.0,4.0,4.0,0.0,0
38224,2019,1,0,1,0,1.0,4.0,4.0,0.0,0
38224,2020,1,0,1,0,1.0,3.0,3.0,0.0,0
38224,2021,1,1,0,0,-1.0,3.0,3.0,1.0,0
38224,2022,3,0,3,0,1.0,3.1666666666666665,3.5,0.0,0
38224,2023,3,1,1,1,0.0,3.3333333333333335,3.5,0.3333333333333333,0
38224,2024,6,1,4,1,0.5,3.216666666666667,4.3,0.16666666666666666,1
