,Country,Code,LPI_Score,Customs,Infrastructure,International_Shipments,Logistics_Competence,Tracking_Tracing,Timeliness,Year,PPI_Value
1180,Papua New Guinea,PNG,2.430098,2.4,2.227937,2.466667,2.466667,2.266667,2.733333,2014,
1181,Papua New Guinea,PNG,2.174101,2.321008,1.97076,2.147231,1.882747,2.257747,2.43608,2018,
1182,Papua New Guinea,PNG,2.7,2.4,2.4,2.6,2.7,3.0,3.3,2023,
1183,Paraguay,PRY,2.5694031154395853,2.2,2.47059,2.29412,2.625,2.66667,3.23077,2007,
1184,Paraguay,PRY,2.753469,2.369767,2.436434,2.866733,2.586464,2.720822,3.458951,2010,
1185,Paraguay,PRY,2.48255,2.363636,2.409878,2.31464,2.489073,2.589072,2.739073,2012,
1186,Paraguay,PRY,2.779734,2.493614,2.4553,2.82567,2.755886,2.893564,3.216688,2014,
1187,Paraguay,PRY,2.782299,2.64,2.547013,2.693257,2.72195,2.613295,3.445366,2018,
1188,Paraguay,PRY,2.7,2.4,2.5,2.7,2.6,2.8,3.0,2023,
1189,Peru,PER,2.7684555852256114,2.68182,2.57143,2.91304,2.72727,2.7,3.0,2007,
1190,Peru,PER,2.801997,2.504311,2.659867,2.746719,2.61396,2.886433,3.383191,2010,
1191,Peru,PER,2.935029,2.682346,2.729456,2.870563,2.909737,2.991857,3.401072,2012,
1192,Peru,PER,2.840685,2.46875,2.720363,2.9375,2.78125,2.8125,3.298387,2014,
1193,Peru,PER,2.693249,2.529412,2.281358,2.843858,2.421468,2.554801,3.445582,2018,
1194,Peru,PER,3.0,2.6,2.5,3.1,2.7,3.4,3.4,2023,
1195,Philippines,PHL,2.6892383605192167,2.63636,2.26087,2.77273,2.65217,2.65217,3.14286,2007,
1196,Philippines,PHL,3.141933,2.674831,2.567813,3.404699,2.949998,3.292884,3.825752,2010,
1197,Philippines,PHL,3.024864,2.625,2.802083,2.96875,3.135417,3.302083,3.302083,2012,
1198,Philippines,PHL,3.003844,3.0,2.6,3.333333,2.933333,3.0,3.066667,2014,
1199,Philippines,PHL,2.903657,2.529412,2.725952,3.292618,2.776028,3.059174,2.983609,2018,
1200,Philippines,PHL,3.3,2.8,3.2,3.1,3.3,3.3,3.9,2023,
1201,Poland,POL,3.038002640907286,2.88462,2.69231,2.92308,3.04,3.12,3.59091,2007,70.6
1202,Poland,,3.038002640907286,2.88462,2.69231,2.92308,3.04,3.12,3.59091,2008,74.5
1203,Poland,,3.038002640907286,2.88462,2.69231,2.92308,3.04,3.12,3.59091,2009,76.1
1204,Poland,POL,3.435271,3.122861,2.983809,3.222741,3.261586,3.45,4.523801,2010,78.9
1205,Poland,,3.435271,3.122861,2.983809,3.222741,3.261586,3.45,4.523801,2011,85.4
1206,Poland,POL,3.431324,3.296296,3.095321,3.473182,3.297608,3.323182,4.037472,2012,88.4
1207,Poland,,3.431324,3.296296,3.095321,3.473182,3.297608,3.323182,4.037472,2013,87.3
1208,Poland,POL,3.493829,3.25534,3.083333,3.456749,3.465008,3.543212,4.133248,2014,85.9
1209,Poland,,3.493829,3.25534,3.083333,3.456749,3.465008,3.543212,4.133248,2015,84.0
1210,Poland,,3.493829,3.25534,3.083333,3.456749,3.465008,3.543212,4.133248,2016,84.0
